,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
58403,Papua New Guinea,More than 10 years,00–44,Female,One or more long-term health condition(s),903.0,3598.0,25.0972762645914,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
58404,Papua New Guinea,More than 10 years,45–64,Persons,One or more long-term health condition(s),5616.0,13395.0,41.9260918253079,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
58405,Papua New Guinea,More than 10 years,45–64,Male,One or more long-term health condition(s),2332.0,5954.0,39.1669465905273,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
58406,Papua New Guinea,More than 10 years,45–64,Female,One or more long-term health condition(s),3284.0,7441.0,44.1338529767504,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
58407,Papua New Guinea,More than 10 years,65 and over,Persons,One or more long-term health condition(s),2439.0,3773.0,64.6435197455605,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
58408,Papua New Guinea,More than 10 years,65 and over,Male,One or more long-term health condition(s),931.0,1485.0,62.6936026936027,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
58409,Papua New Guinea,More than 10 years,65 and over,Female,One or more long-term health condition(s),1508.0,2288.0,65.9090909090909,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
58410,Solomon Islands,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58411,Solomon Islands,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58412,Solomon Islands,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58413,Solomon Islands,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58414,Solomon Islands,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58415,Solomon Islands,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58416,Solomon Islands,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58417,Solomon Islands,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58418,Solomon Islands,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58419,Solomon Islands,More than 10 years,00–44,Persons,One or more long-term health condition(s),125.0,596.0,20.9731543624161,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58420,Solomon Islands,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58421,Solomon Islands,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58422,Solomon Islands,More than 10 years,45–64,Persons,One or more long-term health condition(s),244.0,690.0,35.3623188405797,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58423,Solomon Islands,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58424,Solomon Islands,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58425,Solomon Islands,More than 10 years,65 and over,Persons,One or more long-term health condition(s),119.0,190.0,62.6315789473684,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58426,Solomon Islands,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58427,Solomon Islands,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
58428,Vanuatu,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58429,Vanuatu,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58430,Vanuatu,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58431,Vanuatu,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58432,Vanuatu,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58433,Vanuatu,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58434,Vanuatu,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58435,Vanuatu,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58436,Vanuatu,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58437,Vanuatu,More than 10 years,00–44,Persons,One or more long-term health condition(s),58.0,319.0,18.1818181818181,Bislama,Not specified,Oceania and Antarctica,Melanesia
58438,Vanuatu,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58439,Vanuatu,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58440,Vanuatu,More than 10 years,45–64,Persons,One or more long-term health condition(s),147.0,385.0,38.1818181818181,Bislama,Not specified,Oceania and Antarctica,Melanesia
58441,Vanuatu,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58442,Vanuatu,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58443,Vanuatu,More than 10 years,65 and over,Persons,One or more long-term health condition(s),105.0,185.0,56.7567567567567,Bislama,Not specified,Oceania and Antarctica,Melanesia
58444,Vanuatu,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58445,Vanuatu,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
58446,"Micronesia, nfd",0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58447,"Micronesia, nfd",0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58448,"Micronesia, nfd",0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58449,"Micronesia, nfd",0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58450,"Micronesia, nfd",0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58451,"Micronesia, nfd",0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58452,"Micronesia, nfd",0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58453,"Micronesia, nfd",0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58454,"Micronesia, nfd",0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58455,"Micronesia, nfd",More than 10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58456,"Micronesia, nfd",More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58457,"Micronesia, nfd",More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58458,"Micronesia, nfd",More than 10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58459,"Micronesia, nfd",More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58460,"Micronesia, nfd",More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58461,"Micronesia, nfd",More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58462,"Micronesia, nfd",More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58463,"Micronesia, nfd",More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58464,Guam,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58465,Guam,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58466,Guam,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58467,Guam,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58468,Guam,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58469,Guam,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58470,Guam,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
