,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
58499,Kiribati,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58500,Marshall Islands,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58501,Marshall Islands,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58502,Marshall Islands,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58503,Marshall Islands,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58504,Marshall Islands,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58505,Marshall Islands,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58506,Marshall Islands,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58507,Marshall Islands,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58508,Marshall Islands,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58509,Marshall Islands,More than 10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58510,Marshall Islands,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58511,Marshall Islands,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58512,Marshall Islands,More than 10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58513,Marshall Islands,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58514,Marshall Islands,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58515,Marshall Islands,More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58516,Marshall Islands,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58517,Marshall Islands,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58518,"Micronesia, Federated States of",0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58519,"Micronesia, Federated States of",0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58520,"Micronesia, Federated States of",0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58521,"Micronesia, Federated States of",0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58522,"Micronesia, Federated States of",0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58523,"Micronesia, Federated States of",0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58524,"Micronesia, Federated States of",0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58525,"Micronesia, Federated States of",0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58526,"Micronesia, Federated States of",0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58527,"Micronesia, Federated States of",More than 10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58528,"Micronesia, Federated States of",More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58529,"Micronesia, Federated States of",More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58530,"Micronesia, Federated States of",More than 10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58531,"Micronesia, Federated States of",More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58532,"Micronesia, Federated States of",More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58533,"Micronesia, Federated States of",More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58534,"Micronesia, Federated States of",More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58535,"Micronesia, Federated States of",More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
58536,Nauru,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58537,Nauru,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58538,Nauru,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58539,Nauru,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58540,Nauru,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58541,Nauru,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58542,Nauru,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58543,Nauru,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58544,Nauru,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58545,Nauru,More than 10 years,00–44,Persons,One or more long-term health condition(s),32.0,164.0,19.5121951219512,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58546,Nauru,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58547,Nauru,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58548,Nauru,More than 10 years,45–64,Persons,One or more long-term health condition(s),82.0,206.0,39.8058252427184,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58549,Nauru,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58550,Nauru,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58551,Nauru,More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58552,Nauru,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58553,Nauru,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Nauruan,Not specified,Oceania and Antarctica,Micronesia
58554,Northern Mariana Islands,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58555,Northern Mariana Islands,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58556,Northern Mariana Islands,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
